,Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Fatalities,Ground,Year,AC mfr,Departure,Arrival
151,1928-05-12,?,"Dearborn, Minnesota",ford air freight inc.,?,Dearborn - Buffalo,Ford 4,2.0,2.0,0,1928,ford,Dearborn,Buffalo
152,1928-05-26,?,"Radevormwald, Germany",deutsche lufthansa,?,Essen - Dortmund - Frankfurt,Junkers F-13,5.0,3.0,0,1928,junkers,Essen,Frankfurt
153,1928-06-14,?,"Frankfurt, Germany",deutsche lufthansa,?,?,AEGK,5.0,5.0,0,1928,aegk,?,?
154,1928-06-22,?,"Lebo, Kansas",national air transport,?,Chicago - Dallas,Douglas M-4,1.0,1.0,0,1928,douglas,Chicago,Dallas
155,1928-07-10,?,Over the Gulf of Finland,aero o-y,?,Tallinn - Helsinki,Junkers F-13,6.0,6.0,0,1928,junkers,Tallinn,Helsinki
156,1928-07-13,?,"Purley, England",imperial airways,?,Testing,Vickers 74 Vulcan,6.0,4.0,0,1928,vickers,?,?
157,1928-07-24,14:48,"Waalhaven, Netherlands",klm royal dutch airlines,?,Sightseeing over Rotterdam,Fokker (KLM) F.III,6.0,1.0,0,1928,fokker,?,?
158,1928-08-25,c 11:00,"Near Port Townsend, BC, Canada",british columbia airways,?,Victoria - Seattle,Ford 4-AT-B Tri Motor,7.0,7.0,0,1928,ford,Victoria,Seattle
159,1928-09-02,c 9:15,"Toul, France",cidna,?,Toul - Clermont-Ferrand,Bleriot Spad 33,5.0,5.0,0,1928,bleriot,Toul,Clermont-Ferrand
160,1928-09-04,?,"Adelaide Hills, Australia",qantas,?,Adelaide - Longreach,de Havilland DH.50J,2.0,1.0,0,1928,de,Adelaide,Longreach
161,1928-09-04,11:30,"Pocatello, Idaho",national parks airways,?,Great Falls - Pocatello - Salt Lake City,Fokker Super Universal,7.0,7.0,0,1928,fokker,Great Falls,Salt Lake City
162,1928-09-06,?,"Heroldbach, Germany",deutsche lufthansa,?,?,Fokker FG III,3.0,3.0,0,1928,fokker,?,?
163,1928-10-04,?,"Gerona, Spain",aeropostale,?,Casablanca - Alicante - Barcelona - Perpignan - Toulouse,Breguet 14,3.0,3.0,0,1928,breguet,Casablanca,Toulouse
164,1928-10-18,?,"Polk, Pennsylvania",national air transport,?,?,Douglas M-4,1.0,1.0,0,1928,douglas,?,?
165,1928-10-31,?,"Valence, France",air union,?,Paris - Lyon - Marseille,Bleriot Spad 56,2.0,1.0,0,1928,bleriot,Paris,Marseille
166,1928-11-15,?,Off Gibraltar,aeropostale,?,Marseille - Palma de Majorca,Latecoere 32,3.0,1.0,0,1928,latecoere,Marseille,Palma de Majorca
167,1928-11-24,?,"Edgerton, Ohio",universal airlines,?,Cleveland - Chicago,Hamilton H-47,3.0,3.0,0,1928,hamilton,Cleveland,Chicago
168,1928-11-25,?,"Edgerton, Ohio",continental airlines,?,Cleveland - Louisville,Travel Air 4000,1.0,1.0,0,1928,travel,Cleveland,Louisville
169,1928-11-25,?,"Bristolville, Ohio",national air transport,?,?,Douglas M-4,1.0,1.0,0,1928,douglas,?,?
170,1928-12-01,c 10:00,"Spur, Texas",sunbeam air transport co.,?,San Antonio - Amarillo - Tulsa - Denver,Ford 4-AT-B Tri Motor,5.0,5.0,0,1928,ford,San Antonio,Denver
171,1928-12-03,08:00,"Near Rio de Janeiro,Brazil",syndicato condor,?,Sightseeing,Dornier Wal,14.0,14.0,0,1928,dornier,?,?
172,1928-12-10,10:45,"Spokan, Washington",spokane airways,?,Colfax - Spokane,Ford Tri-motor 4,5.0,5.0,0,1928,ford,Colfax,Spokane
173,1928-12-11,?,"Letzlingen, Germany",deutsche lufthansa,?,Cologne - Berlin,Junkers G-31,4.0,3.0,0,1928,junkers,Cologne,Berlin
174,1928-12-20,?,"Huron, Ohio",national air transport,?,Cleveland - Chicago,Douglas M-4,1.0,1.0,0,1928,douglas,Cleveland,Chicago
175,1928-12-23,?,"Chattanooga, Tennessee",interstate airlines,?,?,Fairchild FC-2,4.0,4.0,0,1928,fairchild,?,?
176,1928-12-31,?,"Reims, France",cidna,?,Strasbourg - Paris,Blériot Spad 66,3.0,2.0,0,1928,blériot,Strasbourg,Paris
177,1929-01-05,?,"Stafford Springs, Connecticut",colonial air transport,?,?,Fairchild FC-2,1.0,1.0,0,1929,fairchild,?,?
178,1929-01-18,?,"Cove, Oregon",varney airlines,?,"Boise, ID - Pasco, WA",Stearman C-38,1.0,1.0,0,1929,stearman,"Boise, ID","Pasco, WA"
179,1929-01-25,?,"Near Corfu, Greece",aeroespresso,?,Brindisi - Athens - Istanbul,CMASA Wal,9.0,2.0,0,1929,cmasa,Brindisi,Istanbul
180,1929-01-31,?,Off Morocco,aeropostale,?,Agadir - Casablanca,Latecoere 26,2.0,2.0,0,1929,latecoere,Agadir,Casablanca
181,1929-01-31,?,"Morgantown, West Virginia",skyline transportation company,?,?,Travel Air 4000,1.0,1.0,0,1929,travel,?,?
182,1929-03-17,1700,"Newark, New Jersey",colonial western airlines,?,Sightseeing,Ford 5-AT-B Tri Motor,15.0,14.0,0,1929,ford,?,?
183,1929-03-30,09:18,"Near Beaumont, California",new standard airlines,?,Los Angeles - Phoenix - El Paso,Fokker F-VIIA,4.0,4.0,0,1929,fokker,Los Angeles,El Paso
184,1929-04-21,1145,"San Diego, California",maddux airlines,?,San Diego - Phoenix,Ford 5-AT-B Tri-Motor / B-PW-9D,6.0,6.0,0,1929,ford,San Diego,Phoenix
185,1929-05-09,?,"Tampico, Mexico",mexicana,?,"Tampico - Brownsville, TX",Ford Tri-motor 4,5.0,5.0,0,1929,ford,Tampico,"Brownsville, TX"
186,1929-05-18,?,"Tököl, Pest Hungary",malert,?,?,Fokker F-III,2.0,2.0,0,1929,fokker,?,?
187,1929-05-22,?,Algiers,aeropostale,?,Algiers - Marseille,Cams 53,6.0,4.0,0,1929,cams,Algiers,Marseille
188,1929-06-13,0800,"Santiago de Cuba, Cuba",pan american airways,?,Santiago de Cuba - Havana,Fokker F-X,5.0,2.0,0,1929,fokker,Santiago de Cuba,Havana
189,1929-06-14,?,"Barcelona, Spain",aeropostale,?,Janeiro - Buenos Aires,Breguet 14,2.0,1.0,0,1929,breguet,Janeiro,Buenos Aires
