,Date,Time,Location,Operator,Flight #,Route,AC Type,Aboard,Fatalities,Ground,Year,AC mfr,Departure,Arrival
0,1908-09-17,1718,"Fort Myer, Virginia",military,?,Demonstration,Wright Flyer III,2.0,1.0,0,1908,wright,?,?
1,1909-09-07,?,"Juvisy-sur-Orge, France",?,?,Air show,Wright Byplane,1.0,1.0,0,1909,wright,?,?
2,1912-07-12,0630,"Atlantic City, New Jersey",military,?,Test flight,Dirigible,5.0,5.0,0,1912,dirigible,?,?
3,1913-08-06,?,"Victoria, British Columbia, Canada",private,?,?,Curtiss seaplane,1.0,1.0,0,1913,curtiss,?,?
4,1913-09-09,1830,Over the North Sea,military,?,?,Zeppelin L-1 (airship),20.0,14.0,0,1913,zeppelin,?,?
5,1913-10-17,1030,"Near Johannisthal, Germany",military,?,?,Zeppelin L-2 (airship),28.0,28.0,0,1913,zeppelin,?,?
6,1915-03-05,0100,"Tienen, Belgium",military,?,?,Zeppelin L-8 (airship),41.0,17.0,0,1915,zeppelin,?,?
7,1915-09-03,1520,"Off Cuxhaven, Germany",military,?,?,Zeppelin L-10 (airship),19.0,19.0,0,1915,zeppelin,?,?
8,1916-07-28,?,"Near Jambol, Bulgeria",military,?,?,Schutte-Lanz S-L-10 (airship),20.0,20.0,0,1916,schutte-lanz,?,?
9,1916-09-24,0100,"Billericay, England",military,?,?,Zeppelin L-32 (airship),22.0,22.0,0,1916,zeppelin,?,?
10,1916-10-01,2345,"Potters Bar, England",military,?,?,Zeppelin L-31 (airship),19.0,19.0,0,1916,zeppelin,?,?
11,1916-11-21,?,"Mainz, Germany",military,?,?,Super Zeppelin (airship),28.0,27.0,0,1916,super,?,?
12,1916-11-28,2345,"Off West Hartlepool, England",military,?,?,Zeppelin L-34 (airship),20.0,20.0,0,1916,zeppelin,?,?
13,1917-03-04,?,"Near Gent, Belgium",military,?,?,Airship,20.0,20.0,0,1917,airship,?,?
14,1917-03-30,?,Off Northern Germany,military,?,?,Schutte-Lanz S-L-9 (airship),23.0,23.0,0,1917,schutte-lanz,?,?
15,1917-05-14,0515,"Near Texel Island, North Sea",military,?,?,Zeppelin L-22 (airship),21.0,21.0,0,1917,zeppelin,?,?
16,1917-06-14,0845,"Off Vlieland Island, North Sea",military,?,?,Zeppelin L-43 (airship),24.0,24.0,0,1917,zeppelin,?,?
17,1917-06-17,?,"Near Yarmouth, England",?,?,?,Zepplin L-48 (air ship),16.0,14.0,0,1917,zepplin,?,?
18,1917-08-21,0700,Off western Denmark,military,?,?,Zeppelin L-23 (airship),18.0,18.0,0,1917,zeppelin,?,?
19,1917-10-20,0745,"Near Luneville, France",military,?,?,Zeppelin L-44 (airship),18.0,18.0,0,1917,zeppelin,?,?
20,1918-04-07,2130,Over the Mediterranean,military,?,?,Zeppelin L-59 (airship),23.0,23.0,0,1918,zeppelin,?,?
21,1918-08-05,?,"Off Helgoland Island, Germany",military,?,?,Zeppelin L-70 (airship),22.0,22.0,0,1918,zeppelin,?,?
22,1918-08-11,1000,"Ameland Island, North Sea",military,?,?,Zeppelin L-53 (airship),19.0,19.0,0,1918,zeppelin,?,?
23,1918-12-16,?,"Elizabeth, New Jersey",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1918,de,?,?
24,1919-05-25,?,"Cleveland, Ohio",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1919,de,?,?
25,1919-07-19,?,"Dix Run, Pennsylvania",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1919,de,?,?
26,1919-07-21,1655,"Chicago, Illinois",wingfoot air express goodyear tire,?,Shuttle,FD Type Dirigible,,3.0,10,1919,fd,?,?
27,1919-08-02,?,"Verona, Italy",caproni company,?,Venice Taliedo,Caproni Ca.48,14.0,14.0,0,1919,caproni,?,?
28,1919-10-02,?,"Newcastle, England",aircraft transport and travel,?,?,De Havilland DH-4,1.0,1.0,0,1919,de,?,?
29,1919-10-14,?,"Cantonsville, Maryland",us aerial mail service,?,?,Curtiss R-4LM,1.0,1.0,0,1919,curtiss,?,?
30,1919-10-20,?,"English Channel off Forkstone, Kent",aircraft transport and travel,?,?,De Havilland DH-4,0.0,0.0,0,1919,de,?,?
31,1919-10-30,?,"Long Valley, New Jersey",us aerial mail service,?,?,De Havilland DH.4,1.0,1.0,0,1919,de,?,?
32,1919-12-11,?,"Catherham, Surrey, UK",aircraft travel transport,?,Paris - Hounslow,de Havilland DH-4,1.0,1.0,0,1919,de,Paris,Hounslow
33,1920-03-10,?,"New Paris, Indiana",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
34,1920-03-30,?,"Newark, New Jersey",us aerial mail service,?,Washington - Newark,De Havilland DH-4,1.0,1.0,0,1920,de,Washington,Newark
35,1920-04-10,?,"Newark, New Jersey",us aerial mail service,?,?,Curtiss R-4LM,2.0,1.0,0,1920,curtiss,?,?
36,1920-04-11,?,"Heller Field, New Jersey",us aerial mail service,?,?,Curtiss JN-4H,2.0,1.0,0,1920,curtiss,?,?
37,1920-05-12,?,"Oskaloosa, Iowa",us aerial mail service,?,?,De Havilland DH-4,2.0,1.0,0,1920,de,?,?
38,1920-06-06,?,"Cleveland, Ohio",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
39,1920-07-20,?,"Cartagena, Columbia",compañia colombiana de navegación aérea,?,?,Farman F-40,1.0,1.0,0,1920,farman,?,?
40,1920-08-16,?,"Bedford, England",by air,?,?,Armstrong-Whitworth F-K-8,1.0,1.0,0,1920,armstrong-whitworth,?,?
41,1920-08-16,?,"College Park, Maryland",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
42,1920-09-01,?,"Morristown, New Jersey",us aerial mail service,?,?,Junkers JL-6,2.0,2.0,0,1920,junkers,?,?
43,1920-09-15,?,"Pemberville, Ohio",us aerial mail service,?,?,Junkers F-13,2.0,2.0,0,1920,junkers,?,?
44,1920-09-27,?,"Hillersburg, Pennsylvania",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
45,1920-10-02,?,"Off Port Vendres, France",latecoere airlines,?,?,Salmson 2-A-2,2.0,2.0,0,1920,salmson,?,?
46,1920-10-05,?,"Valencia, Spain",latecoere airlines,?,?,Breguet 14,2.0,2.0,0,1920,breguet,?,?
47,1920-10-15,?,"Batavia, Illinois",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
48,1920-11-07,?,"Tie Siding, Wyoming",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1920,de,?,?
49,1920-12-14,1215,"London, England",handley page transport,?,London - Paris,Handley Page HP-16,8.0,4.0,0,1920,handley,London,Paris
50,1920-12-24,?,"Barcelona, Spain",aeropostale,?,?,Breguet 14,1.0,1.0,0,1920,breguet,?,?
51,1921-02-03,?,"Mendotta, Minnisota",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1921,de,?,?
52,1921-02-09,?,"La Crosse, Wisconsin",us aerial mail service,?,?,Junkers F-13,3.0,3.0,0,1921,junkers,?,?
53,1921-02-15,?,Off Gibraltar,aeropostale,?,?,Breguet 14,2.0,2.0,0,1921,breguet,?,?
54,1921-02-22,?,"Elko, Nevada",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1921,de,?,?
55,1921-04-06,?,"Point Cook, Australia",military,?,?,Avro 504,2.0,2.0,0,1921,avro,?,?
56,1921-04-21,?,"Mitchel Field, NY",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1921,de,?,?
57,1921-04-29,?,"Cleveland, Ohio",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1921,de,?,?
58,1921-05-17,?,"Rock Springs, Wyoming",us aerial mail service,?,?,De Havilland DH-4 De Havilland DH-4,1.0,1.0,0,1921,de,?,?
59,1921-08-14,?,"Toulouse, France",aeropostale,?,?,Breguet 14,2.0,2.0,0,1921,breguet,?,?
60,1921-08-24,1740,"River Humber, England",military,?,?,Royal Airship Works ZR-2 (airship),49.0,43.0,1,1921,royal,?,?
61,1921-09-06,?,"Paris, France",franco-roumaine,?,Warsaw - Prague - Strasbourg - Paris,Potez IX,5.0,5.0,0,1921,potez,Warsaw,Paris
62,1921-12-05,?,"Near Murchinson River, Australia",west australian airways,?,Geraldton - Derby,Bristol 28 Tourer,2.0,2.0,0,1921,bristol,Geraldton,Derby
63,1922-01-14,?,"Paris, France",handley page transport,?,?,Handley Page O/10,5.0,5.0,5,1922,handley,?,?
64,1922-02-21,?,"Near Norfolk, Virginia",military,?,?,Dirigible Roma (airship),45.0,34.0,0,1922,dirigible,?,?
65,1922-03-22,1140,North Atlantic Ocean,aero limited,?,Miami - Bimini,Aeromarine Model 85 (flying boat),6.0,5.0,0,1922,aeromarine,Miami,Bimini
66,1922-04-07,1315,"Grandvilliers, France",daimler airways,?,Croydon - Le Bourget,de Havilland DH-18 / Farman F-60 Goliath,7.0,7.0,0,1922,de,Croydon,Le Bourget
67,1922-04-08,?,"Pao Ting Fou, China",?,?,Test,?,17.0,17.0,0,1922,?,?,?
68,1922-06-03,?,"Off Folkestone, Kent, England",cie des messageries aeriennes,?,Croydon - Paris,Bleriot Spad 27,3.0,3.0,0,1922,bleriot,Croydon,Paris
69,1922-07-04,?,"Fuhlsbuttel, Germany",?,?,Hamburg - Berlin,LVG C VI,3.0,2.0,0,1922,lvg,Hamburg,Berlin
70,1922-07-16,1645,"Near Saverne, Lorraine, France",compagnie franco-roumaine de navigaation aerienne,?,Strasbourg - Paris,Potez 29,5.0,5.0,0,1922,potez,Strasbourg,Paris
71,1922-07-26,?,"Cadix, Spain",grands express aeriens,?,?,Breguet 14,3.0,3.0,0,1922,breguet,?,?
72,1922-09-07,?,"Indianapolis, Indiana",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1922,de,?,?
73,1922-10-02,?,"Venice, Italy",de havilland air service,?,Venice - London,de Havilland DH-9,4.0,4.0,0,1922,de,Venice,London
74,1922-10-25,?,"Larache, Morocco",grands express aeriens,?,?,Breguet 14,2.0,2.0,0,1922,breguet,?,?
75,1922-12-03,?,"Fez, Morocco",grands express aeriens,?,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1.0,1.0,0,1922,breguet,Toulouse,Rabat
76,1923-01-10,?,"Ajaccio, France",amee de l'air,?,?,Lioré-et-Olivier H-13,4.0,3.0,0,1923,lioré-et-olivier,?,?
77,1923-01-17,?,"Barcelona, Spain",grands express aeriens,?,?,Breguet 14,1.0,1.0,0,1923,breguet,?,?
78,1923-01-18,?,"Cheyenne, Wyoming",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1923,de,?,?
79,1923-02-26,?,"Meadville, Pennsylvania",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1923,de,?,?
80,1923-05-14,1342,"Near Amiens, Picrdie, France",grands express aeriens (air union),?,Paris - London,Farman F-60 Goliath,6.0,6.0,0,1923,farman,Paris,London
81,1923-08-27,1730,"East Mallling, United Kingdom",air union,?,Paris - Berck-sur-Mer - Croydon,Farman F.60 Goliath,11.0,1.0,0,1923,farman,Paris,Croydon
82,1923-08-27,?,"Bucharest, Romania",campagnie france roumaine,?,?,Blériot Spad 46,2.0,2.0,0,1923,blériot,?,?
83,1923-09-07,?,"Colton, Ohio",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1923,de,?,?
84,1923-09-14,c 18:00,"Near Ivinghoe, Buckinghamshire, England",daimler airways,?,Croydon - Manchester,de Havilland DH-34,5.0,5.0,0,1923,de,Croydon,Manchester
85,1923-11-18,?,Russia,cccp,?,?,Junkers F-13,5.0,3.0,0,1923,junkers,?,?
86,1923-12-06,?,"Castalia, Ohio",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1923,de,?,?
87,1923-12-23,c 02:30,Over the Mediterranean Sea,military,?,Toulon - Algiers,Zeppelin Dixmunde (airship),52.0,52.0,0,1923,zeppelin,Toulon,Algiers
88,1923-12-24,?,"Egbert, WY",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1923,de,?,?
89,1924-03-07,?,"Grampian, Pennsylvania",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1924,de,?,?
90,1924-04-24,?,Over the English Channel,klm royal dutch airlines,?,"Lympne, England - Rotterdam, The Netherlands",Fokker F.III,3.0,3.0,0,1924,fokker,"Lympne, England","Rotterdam, The Netherlands"
91,1924-06-08,?,"Barranquilla, Colombia",scadta,?,Barranquilla - Bogota,Junkers F-13,5.0,5.0,0,1924,junkers,Barranquilla,Bogota
92,1924-08-01,?,United States,us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1924,de,?,?
93,1924-11-06,?,"Cabrerolles, France",grands express aeriens,?,?,Breguet 14,1.0,1.0,0,1924,breguet,?,?
94,1924-12-21,?,"Goshen, Indiana",us aerial mail service,?,?,De Havilland DH-4,1.0,1.0,0,1924,de,?,?
95,1924-12-24,c 12:00,"Purley, England",imperial airways,?,London - Paris,de Havilland DH-34B,8.0,8.0,0,1924,de,London,Paris
96,1925-03-22,?,"Near Tiflis, Georgia, USSR",zakavia,?,Tiflis - Suchumi,Junkers F-13,5.0,5.0,0,1925,junkers,Tiflis,Suchumi
97,1925-04-25,?,"Alicante, Spain",grands express aeriens,?,Alicante - Barcelona - Toulouse,Breguet 14,3.0,3.0,0,1925,breguet,Alicante,Toulouse
98,1925-06-25,?,"Landrécies, France",klm royal dutch airlines,?,Amsterdam - Paris,Fokker (KLM) F.III,4.0,4.0,0,1925,fokker,Amsterdam,Paris
99,1925-06-26,?,"Alicante, Spain",grands express aeriens,?,Oran - Alicante,Lioré-et-Olivier LeO H-13,2.0,2.0,0,1925,lioré-et-olivier,Oran,Alicante
100,1925-07-20,?,"Rosas, Spain",lignes aeriennes latecoere,?,Toulouse - Barcelona,Breguet 14,1.0,1.0,0,1925,breguet,Toulouse,Barcelona
101,1925-07-24,?,"Budapest, Hungary",cidna,?,?,Potez IX,1.0,1.0,0,1925,potez,?,?
102,1925-09-03,0530,"Caldwell, Ohio",military,?,"Lakehurst, NJ - S.t Louis, MO",Dirigible ZR-1 Shenandoah (airship),43.0,14.0,0,1925,dirigible,"Lakehurst, NJ","S.t Louis, MO"
103,1925-09-07,?,"Toul, France",cidna,?,?,Spad 33,,,?,1925,spad,?,?
104,1925-10-01,?,"Mt. Nittany, Ohio",us aerial mail service,?,New York - San Francisco,De Havilland DH-4,1.0,1.0,0,1925,de,New York,San Francisco
105,1925-11-14,?,"Nouadhibou, Mauritania",lignes aeriennes latecoere,?,?,Breguet 14,1.0,1.0,0,1925,breguet,?,?
106,1925-11-14,?,"Off Boulogne-sur-Mer, France",air union,?,?,Farman F-60 Goliath,2.0,2.0,0,1925,farman,?,?
107,1926-02-12,?,"Montpelier, Ohio",us aerial mail service,?,?,Curtiss Carrier Pigeon,1.0,1.0,0,1926,curtiss,?,?
108,1926-03-08,?,"Staaken, Germany",deutche lufthansa,?,?,Junkers F-13,1.0,1.0,0,1926,junkers,?,?
109,1926-05-31,?,English Channel,air union,?,Paris - Cryodon,Breguet 14,1.0,1.0,0,1926,breguet,Paris,Cryodon
110,1926-07-03,?,"Rossaugpt, Czechoslovakia",compagnie internationale de navigation aérienne,?,Paris - Prague - Budapest,Caudron C-61,6.0,6.0,0,1926,caudron,Paris,Budapest
111,1926-07-09,0930,"Wolvertem, Belgium",klm royal dutch airlines,?,Amsterdam - Rotterdam - Brussels - Paris,Fokker F7,2.0,2.0,0,1926,fokker,Amsterdam,Paris
112,1926-07-24,?,"Juist, Germany",deutsche lufthansa,?,?,Junkers F-13,5.0,5.0,0,1926,junkers,?,?
113,1926-08-18,?,"Hurst, Kent, England",air union,?,"Lebourget, France - Croydon, England",Bleriot 155,15.0,3.0,0,1926,bleriot,"Lebourget, France","Croydon, England"
114,1926-09-26,?,"New York, New York",?,?,New York - Paris,Sikorsky S-25,5.0,2.0,0,1926,sikorsky,New York,Paris
115,1926-10-02,1527,"Leigh, Kent, Unied Kingdom",air union,?,Paris - London,Bleriot 155,7.0,7.0,0,1926,bleriot,Paris,London
116,1926-10-08,?,"Bueren, Germany",deutsche lufthansa,?,?,Fokker FG III,4.0,4.0,0,1926,fokker,?,?
117,1926-10-21,c 13:15,English Channel,imperial airways,?,Croydon - Paris,Handley Page W-10,12.0,0.0,0,1926,handley,Croydon,Paris
118,1926-11-11,0800,"Cape Bojador, Morocco",grands express aeriens,?,Casablanca -Dakar,Breguet 14,3.0,3.0,0,1926,breguet,Casablanca,Casablanca -Dakar
119,1926-12-16,?,"Medford, Oregon",pacific air transport,?,?,Ryan M-1,1.0,1.0,0,1926,ryan,?,?
120,1927-01-12,?,"Estaires, France",fokker,?,Delivery flight,Fokker F-VII,0.0,0.0,0,1927,fokker,?,?
121,1927-03-20,?,"Rabat, Morocco",grands express aeriens,?,Casablanca - Oran,Breguet 14,1.0,1.0,0,1927,breguet,Casablanca,Oran
122,1927-03-24,?,"Tambo, Qld, Australia",qantas,?,Charleville - Tambo - Blackall,de Havilland DH-9C,3.0,3.0,0,1927,de,Charleville,Blackall
123,1927-04-15,?,"King Hill, Idaho",varney airlines,?,?,Swallow Swallow,1.0,1.0,0,1927,swallow,?,?
124,1927-04-22,?,"Floh, Germany",deutsche lufthansa,?,Charleville - Tambo - Blackall,Fokker FG III,2.0,2.0,0,1927,fokker,Charleville,Blackall
125,1927-04-22,?,"Goshen, Indiana",us aerial mail service,?,?,Douglas M-4,1.0,1.0,0,1927,douglas,?,?
126,1927-05-02,?,"Algiers, Algeria",air union,?,?,SPCA Meteore 63,3.0,1.0,0,1927,spca,?,?
127,1927-07-27,?,"Amoneburg, Germany",deutsche lufthansa,?,Kassel - Frankfurt,Junkers F-13,5.0,5.0,0,1927,junkers,Kassel,Frankfurt
128,1927-08-22,0830,"Sevenoaks, England",klm royal dutch airlines,?,Croydon - Schiphol,Fokker F-VIII,11.0,1.0,0,1927,fokker,Croydon,Schiphol
129,1927-09-03,?,"Willington, Connecticut",colonial air transport,?,?,Fokker Universal,1.0,1.0,0,1927,fokker,?,?
130,1927-09-17,?,"Hadley, New Jersey",reynolds airways,?,Sightseeing,Fokker F-VII,12.0,7.0,0,1927,fokker,?,?
131,1927-09-17,0405,Atlantic Ocean,private,?,Old Orchad Beach - Rome,Fokker F7,3.0,3.0,0,1927,fokker,Old Orchad Beach,Rome
132,1927-09-23,10:00,"Schleiz, Germany",deutsche lufthansa,?,Berlin - Munich,Dornier Merkur,6.0,6.0,0,1927,dornier,Berlin,Munich
133,1927-10-06,?,"Thies, Mauritania",lignes aeriennes latecoere,?,Saint Louis - Dakar,Breguet 14,2.0,2.0,0,1927,breguet,Saint Louis,Dakar
134,1927-10-30,?,"New Brunswick, New Jersey",colonial air transport,?,?,Fairchild FC-2,4.0,4.0,0,1927,fairchild,?,?
135,1927-11-08,?,"Strasburg, France",cidna,?,Strasbourg - Paris,Farman F-121 Jabiru,1.0,1.0,0,1927,farman,Strasbourg,Paris
136,1927-11-16,?,Over the Gulf of Finland,aero o-y,?,Tallinn - Helsinki,Junkers F-13,6.0,6.0,0,1927,junkers,Tallinn,Helsinki
137,1927-11-29,?,"Corunna, Indiana",national air transport,?,?,Douglas M-4,1.0,1.0,0,1927,douglas,?,?
138,1927-12-28,?,"Almeria, Spain",aeropostale,?,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1.0,1.0,0,1927,breguet,Dakar,Toulouse
139,1927-12-31,?,"Near Marseille,France",latecoere airlines,?,Test flight,Latécoère 23 (flying boat),5.0,5.0,0,1927,latécoère,?,?
140,1927-12-31,?,"Near Marseille,France",latecoere airlines,?,Test flight,Latécoère 23 (flying boat),5.0,5.0,0,1927,latécoère,?,?
141,1928-01-08,?,"Near Canajoharie, New York",colonial western airlines,?,Minola - Albany - Buffalo,Fairchild FC-2,3.0,3.0,0,1928,fairchild,Minola,Buffalo
142,1928-01-16,?,"Solis, Uruguay",aeropostale,F-AIKG,Buenos Aires - Montevideo,Latecoere 25,2.0,2.0,0,1928,latecoere,Buenos Aires,Montevideo
143,1928-01-22,?,"L'Hospitalet, Ariège",aeropostale,?,Toulouse - Perpignan - Alicante - Casablanca - Dakar,Breguet 14,1.0,1.0,0,1928,breguet,Toulouse,Dakar
144,1928-01-22,?,"Tarragona, Spain",aeropostale,?,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,2.0,2.0,0,1928,breguet,Casablanca,Toulouse
145,1928-01-27,?,"Almeria, Spain",aeropostale,?,Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1.0,1.0,0,1928,breguet,Casablanca,Toulouse
146,1928-02-26,?,"Marquette, Nebraska",boeing air transport,?,?,Boeing 40,2.0,1.0,0,1928,boeing,?,?
147,1928-03-11,?,"Off Cape Griz Nez, France",air union,?,Paris - Croydon,Farman F-60 Goliath,2.0,2.0,0,1928,farman,Paris,Croydon
148,1928-04-17,?,"Federal, Wyoming",boeing air transport,?,?,Boeing 40,2.0,1.0,0,1928,boeing,?,?
149,1928-04-19,?,"Minuesa, Spain",iberia airlines,?,Barcelona - Madrid,Rohrbach Roland,9.0,9.0,0,1928,rohrbach,Barcelona,Madrid
150,1928-05-07,?,"Florianopolis, Brazil Florianopolis, Brazil Florianopolis, Brazil",aeropostale,?,?,Latecoere 26,5.0,1.0,0,1928,latecoere,?,?
